Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT496995,2020-05-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Gandhinagar,Homo sapiens,,2020-04-29
MT496996,2020-05-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Gandhinagar,Homo sapiens,,2020-05-02
MT496997,2020-05-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Gandhinagar,Homo sapiens,,2020-04-29
MT270101,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01-28
MT270102,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,Germany: Bavaria,Homo sapiens,,2020-01-29
MT270103,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,Germany: Bavaria,Homo sapiens,,2020-01-28
MT270104,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,Germany: Bavaria,Homo sapiens,,2020-01
MT270105,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,Germany: Bavaria,Homo sapiens,,2020-01
MT270106,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,Germany: Bavaria,Homo sapiens,,2020-02-01
MT270107,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-02-03
MT270108,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01
MT270109,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-01
MT270110,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-02-07
MT270111,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Bavaria,Homo sapiens,,2020-02-08
MT270112,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,Germany: Bavaria,Homo sapiens,,2020-01-30
MT270113,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29787,Germany: Bavaria,Homo sapiens,,2020-02
MT270114,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,Germany: Bavaria,Homo sapiens,,2020-02
MT483553,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-05
MT483554,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-05
MT483555,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29757,India: Modasa,Homo sapiens,,2020-05-05
MT483556,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-05
MT483557,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29757,India: Modasa,Homo sapiens,,2020-05-05
MT483558,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-05
MT483559,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Prantij,Homo sapiens,,2020-05-05
MT483560,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-05
MT483563,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,2020-04-06
MT483564,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens,,2020-04-06
MT483565,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens,,2020-04-05
MT483702,2020-05-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29780,India: Modasa,Homo sapiens,,2020-05-05
MT477835,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,USA: AK,Homo sapiens,,2020-03-15
MT477836,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: AK,Homo sapiens,,2020-03-16
MT477837,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: AK,Homo sapiens,,2020-03-17
MT477838,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: AK,Homo sapiens,,2020-03-17
MT477839,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: AK,Homo sapiens,,2020-03-19
MT477840,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29877,USA: AK,Homo sapiens,,2020-03-18
MT477841,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,USA: AK,Homo sapiens,,2020-03-18
MT477842,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA: AK,Homo sapiens,,2020-03-23
MT477843,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: AK,Homo sapiens,,2020-03-21
MT477844,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: AK,Homo sapiens,,2020-03-24
MT477845,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: AK,Homo sapiens,,2020-03-23
MT477846,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: AK,Homo sapiens,,2020-04-07
MT477847,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: AK,Homo sapiens,,2020-03-28
MT477848,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: AK,Homo sapiens,,2020-03-27
MT477849,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: AK,Homo sapiens,,2020-03-29
MT477850,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: AK,Homo sapiens,,2020-04-02
MT477851,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA: AK,Homo sapiens,,2020-04-04
MT477852,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: AK,Homo sapiens,,2020-03-25
MT477853,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: AK,Homo sapiens,,2020-03-24
MT477854,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,USA: AK,Homo sapiens,,2020-03-24
MT477855,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: AK,Homo sapiens,,2020-04-07
MT477856,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: AK,Homo sapiens,,2020-04-07
MT477857,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: AK,Homo sapiens,,2020-04-07
MT477858,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA: AK,Homo sapiens,,2020-04-08
MT477859,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: AK,Homo sapiens,,2020-04-08
MT477860,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: AK,Homo sapiens,,2020-04-09
MT477861,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: AK,Homo sapiens,,2020-04-12
MT477862,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: AK,Homo sapiens,,2020-04-26
MT477885,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,India,Homo sapiens,,2020-03-25
MT477903,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: FL,Homo sapiens,,2020-04-07
MT477904,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: FL,Homo sapiens,,2020-04-29
MT481927,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: CA,Homo sapiens,,2020-03-27
MT481928,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,USA: CA,Homo sapiens,,2020-03-25
MT481929,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens,,2020-04-01
MT481930,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: CA,Homo sapiens,,2020-04-02
MT481931,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens,,2020-04-01
MT481932,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,USA: CA,Homo sapiens,,2020-04-04
MT481933,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: CA,Homo sapiens,,2020-04-03
MT481934,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,2020-04-06
MT481935,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,2020-04-08
MT481936,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: CA,Homo sapiens,,2020-04-07
MT481992,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA,Homo sapiens,lung,2020-03-23
MT482110,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04
MT482111,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: VA,Homo sapiens,,2020-04
MT482112,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA: VA,Homo sapiens,,2020-04
MT482113,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: VA,Homo sapiens,,2020-04
MT482114,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04
MT482115,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: VA,Homo sapiens,,2020-04
MT482116,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: VA,Homo sapiens,,2020-04
MT482117,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA: VA,Homo sapiens,,2020-04
MT482118,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: VA,Homo sapiens,,2020-04
MT482119,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: VA,Homo sapiens,,2020-04
MT482120,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA: VA,Homo sapiens,,2020-04
MT482121,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: VA,Homo sapiens,,2020-04
MT482122,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: VA,Homo sapiens,,2020-04
MT482123,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,USA: VA,Homo sapiens,,2020-04
MT482124,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: VA,Homo sapiens,,2020-04
MT482125,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,USA: VA,Homo sapiens,,2020-04
MT482126,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: VA,Homo sapiens,,2020-04
MT482127,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: VA,Homo sapiens,,2020-04
MT482128,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA: VA,Homo sapiens,,2020-04
MT482129,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: VA,Homo sapiens,,2020-04
MT482130,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: VA,Homo sapiens,,2020-04
MT482131,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: VA,Homo sapiens,,2020-04
MT482132,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: VA,Homo sapiens,,2020-04
MT482133,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: VA,Homo sapiens,,2020-04
MT482134,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,USA: VA,Homo sapiens,,2020-04
MT482135,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,USA: VA,Homo sapiens,,2020-04
MT482136,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA: VA,Homo sapiens,,2020-04
MT482137,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: VA,Homo sapiens,,2020-04
MT482138,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,USA: VA,Homo sapiens,,2020-04
MT482139,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04
MT482140,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,USA: VA,Homo sapiens,,2020-04
MT482141,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04
MT482142,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: VA,Homo sapiens,,2020-04
MT482143,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: VA,Homo sapiens,,2020-04
MT482144,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: VA,Homo sapiens,,2020-04
MT482145,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: VA,Homo sapiens,,2020-04
MT482146,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04
MT482147,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04
MT482148,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: VA,Homo sapiens,,2020-04
MT482149,2020-05-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,USA: VA,Homo sapiens,,2020-04
LC547518,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Japan:Kochi,Homo sapiens,oronasopharynx,2020-03-08
LC547519,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29739,Japan:Chiba,Homo sapiens,oronasopharynx,2020-03-10
LC547520,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Japan:Chiba,Homo sapiens,oronasopharynx,2020-03-10
LC547521,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Ishikawa,Homo sapiens,oronasopharynx,2020-03-09
LC547522,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29738,Japan:Ishikawa,Homo sapiens,oronasopharynx,2020-03-20
LC547523,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-11
LC547524,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-12
LC547525,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-12
LC547526,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-17
LC547527,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-18
LC547528,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-20
LC547529,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-20
LC547530,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Saitama,Homo sapiens,oronasopharynx,2020-03-19
LC547531,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Chiba,Homo sapiens,oronasopharynx,2020-03-12
LC547532,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29738,Japan:Chiba,Homo sapiens,oronasopharynx,2020-03-13
LC547533,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,Japan:Chiba,Homo sapiens,oronasopharynx,2020-03-13
LC546038,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,Japan,Homo sapiens,oronasopharynx,2020-03-23
MT079843,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29915,China,Homo sapiens,,2020-01-22
MT079844,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29910,China,Homo sapiens,,2020-01-22
MT079845,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29955,China,Homo sapiens,,2020-01-22
MT079846,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,2020-01-22
MT079847,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,China,Homo sapiens,,2020-01-22
MT079848,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,China,Homo sapiens,,2020-01-22
MT079849,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29904,China,Homo sapiens,,2020-01-22
MT079850,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,China,Homo sapiens,,2020-01-22
MT079851,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,30018,China,Homo sapiens,,2020-01-22
MT079852,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,China,Homo sapiens,,2020-01-22
MT079853,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,China,Homo sapiens,,2020-01-22
MT079854,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,China,Homo sapiens,,2020-01-22
MT472621,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: PA,Homo sapiens,oronasopharynx,2020-03-08
MT472622,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: MD,Homo sapiens,oronasopharynx,2020-03-04
MT472623,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: VT,Homo sapiens,"lung, oronasopharynx",2020-03-05
MT472624,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: FL,Homo sapiens,oronasopharynx,2020-03-06
MT472625,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: PR,Homo sapiens,oronasopharynx,2020-03-08
MT472626,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: IA,Homo sapiens,oronasopharynx,2020-03-07
MT472627,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: DC,Homo sapiens,oronasopharynx,2020-03-08
MT474126,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens,,2020-03-28
MT474127,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,USA: CA,Homo sapiens,,2020-03-27
MT474128,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens,,2020-03-27
MT474129,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: CA,Homo sapiens,,2020-03-25
MT474130,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: CA,Homo sapiens,,2020-03-31
MT474131,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: CA,Homo sapiens,,2020-03-31
MT474132,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,USA: CA,Homo sapiens,,2020-04-05
MT474133,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: CA,Homo sapiens,,2020-04-05
MT474134,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,2020-03-31
MT474135,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,2020-03-31
MT474136,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: CA,Homo sapiens,,2020-03-30
MT474137,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,2020-04-08
MT474138,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,2020-04-12
MT476384,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,USA: FL,,,2020-02-21
MT476385,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,Bangladesh,Homo sapiens,,2020-04-18
MT358638,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358639,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358640,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358641,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358642,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT358643,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Germany,Homo sapiens,oronasopharynx,2020-02
MT466071,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Uruguay,Homo sapiens,oronasopharynx,2020-03-13
MT466583,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: AK,Homo sapiens,,2020-03-15
MT467237,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-26
MT467238,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467239,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-26
MT467240,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-30
MT467241,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-26
MT467242,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467243,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-30
MT467244,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-30
MT467245,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467246,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467247,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467248,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467249,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467250,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467251,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467252,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467253,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467254,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467255,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-30
MT467256,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467257,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-30
MT467258,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens,,2020-04-29
MT467259,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Prantij,Homo sapiens,,2020-05-02
MT467260,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Prantij,Homo sapiens,,2020-05-02
MT467261,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-04
MT467262,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Modasa,Homo sapiens,,2020-05-04
MT467263,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,India: Dhansura,Homo sapiens,,2020-05-04
MT470100,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470101,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470102,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470103,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470104,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470105,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470106,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470107,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470108,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470109,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
MT470110,2020-05-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,France,Homo sapiens,,2020-03
